Player,Year,Origin,Destination,Prev_Yards,Prev_Tackles,Prev_Sacks,Prev_INTs,Success_In_B1G
Kamo'i Latu,2022,Utah,Wisconsin,0.0,19.0,0.0,0.0,1
Jacobe Covington,2022,Washington,USC,0.0,5.0,1.0,0.0,0
Marcus Washington,2022,Texas,Nebraska,282.0,0.0,0.0,0.0,1
Jarek Broussard,2022,Colorado,Michigan State,742.0,0.0,0.0,0.0,1
Gabriel Murphy,2022,North Texas,UCLA,0.0,53.0,7.5,0.0,1
Sean Ryan,2022,West Virginia,Rutgers,399.0,0.0,0.0,0.0,1
Devin Drew,2022,Texas Tech,Nebraska,0.0,34.0,0.0,0.0,0
Jonah Morris,2022,Northern Colorado,Illinois,7.0,0.0,0.0,0.0,0
Christian Gonzalez,2022,Colorado,Oregon,0.0,53.0,0.0,0.0,1
Azizi Hearn,2022,Wyoming,UCLA,0.0,30.0,0.0,0.0,1
Jacob Copeland,2022,Florida,Maryland,679.0,1.0,0.0,0.0,1
Kyler Baugh,2022,Houston Christian,Minnesota,0.0,6.0,0.5,0.0,1
Chad Ryland,2022,Eastern Michigan,Maryland,0.0,0.0,0.0,0.0,0
Brenden Rice,2022,Colorado,USC,822.0,0.0,0.0,0.0,1
Charlie Jones,2022,Iowa,Purdue,1251.0,1.0,0.0,0.0,1
Casey Rogers,2022,Nebraska,Oregon,0.0,17.0,0.5,0.0,1
Mario Williams,2022,Oklahoma,USC,510.0,1.0,0.0,0.0,1
Jordon Riley,2022,Nebraska,Oregon,0.0,7.0,0.0,0.0,0
Daymon David,2022,Oregon,Oregon,0.0,3.0,0.0,0.0,0
Kody Case,2022,South Dakota,Illinois,60.0,0.0,0.0,0.0,0
Jordan Addison,2022,Pittsburgh,USC,1834.0,0.0,0.0,0.0,1
Cam Goode,2022,UCF,Michigan,10.0,24.0,3.0,1.0,0
Quashon Fuller,2022,Florida State,Maryland,0.0,8.0,1.0,0.0,0
Ryan Stapp,2022,Abilene Christian,Minnesota,0.0,6.0,0.0,0.0,0
Luke Akers,2022,UCLA,Northwestern,1453.0,0.0,0.0,0.0,1
Andrew Boyle,2022,Washington State,Oregon,40.0,0.0,0.0,0.0,0
Darnell Jefferies,2022,Clemson,Minnesota,0.0,1.0,0.0,0.0,0
Ben VanSumeren,2022,Michigan State,Michigan State,0.0,12.0,0.0,0.0,1
Ryan Johnson,2022,Stanford,Northwestern,0.0,15.0,0.0,0.0,0
Henry Chibueze,2022,Liberty,Maryland,0.0,18.0,2.0,0.0,1
Eric Gentry,2022,Arizona State,USC,0.0,45.0,1.0,0.0,1
Josh Henderson,2022,North Carolina,Indiana,21.0,0.0,0.0,0.0,1
Andison Coby,2022,Tennessee,Indiana,5.0,0.0,0.0,0.0,0
Caleb Chapman,2022,Texas A&M,Oregon,210.0,1.0,0.0,0.0,0
VanDarius Cowan,2022,West Virginia,Maryland,0.0,15.0,0.0,0.0,0
Aaron Brule,2022,Mississippi State,Michigan State,0.0,53.0,3.0,0.0,1
Latrell McCutchin,2022,Oklahoma,USC,0.0,9.0,0.0,0.0,0
Bryson Shaw,2022,Ohio State,USC,20.0,59.0,0.0,1.0,1
Travis Dye,2022,Oregon,USC,1673.0,0.0,0.0,0.0,1
Jay Shaw,2022,UCLA,Wisconsin,21.0,27.0,0.0,3.0,1
Adam Barry,2022,Temple,Oregon,2658.0,0.0,0.0,0.0,1
