School,Year,Total_Transfers_Incoming
Abilene Christian,2022,9
Abilene Christian,2023,4
Abilene Christian,2024,13
Abilene Christian,2025,17
Akron,2022,15
Akron,2023,4
Akron,2024,15
Akron,2025,17
Alabama,2022,5
Alabama,2023,5
Alabama,2024,14
Alabama,2025,11
Alabama A&M,2022,11
Alabama A&M,2023,2
Alabama A&M,2024,9
Alabama A&M,2025,2
Alabama State,2022,7
Alabama State,2023,1
Alabama State,2024,3
Alabama State,2025,6
Albany,2025,4
Albany State,2024,3
Alcorn State,2022,4
Alcorn State,2023,1
Alcorn State,2024,1
Alcorn State,2025,4
American River C.C.,2025,1
Anderson,2025,2
App State,2022,9
App State,2023,13
App State,2024,15
App State,2025,32
Arizona,2022,8
Arizona,2023,8
Arizona,2024,24
Arizona,2025,30
Arizona State,2022,13
Arizona State,2023,30
Arizona State,2024,28
Arizona State,2025,17
Arkansas,2022,9
Arkansas,2023,17
Arkansas,2024,22
Arkansas,2025,31
Arkansas State,2022,11
Arkansas State,2023,8
Arkansas State,2024,17
Arkansas State,2025,32
Arkansas-Pine Bluff,2024,3
Arkansas-Pine Bluff,2025,1
Ashland,2022,1
Ashland University,2025,1
Auburn,2022,11
Auburn,2023,21
Auburn,2024,15
Auburn,2025,21
Augustana,2024,1
Aurora University,2024,1
Austin Peay,2022,1
Austin Peay,2023,3
Austin Peay,2024,17
Austin Peay,2025,23
BYU,2022,4
BYU,2023,20
BYU,2024,9
BYU,2025,13
Ball State,2022,5
Ball State,2023,10
Ball State,2024,11
Ball State,2025,24
Barton C.C.,2024,1
Baylor,2022,3
Baylor,2023,13
Baylor,2024,16
Baylor,2025,23
Benedict College,2024,1
Benedict College,2025,1
Bethune-Cookman,2022,1
Bethune-Cookman,2023,3
Bethune-Cookman,2024,9
Bethune-Cookman,2025,5
Blinn College,2022,1
Blinn College,2023,1
Boise State,2022,3
Boise State,2023,9
Boise State,2024,8
Boise State,2025,12
Boston College,2022,4
Boston College,2023,9
Boston College,2024,10
Boston College,2025,15
Bowie State,2024,1
Bowling Green,2022,6
Bowling Green,2023,3
Bowling Green,2024,13
Bowling Green,2025,21
British Columbia,2025,1
Bryant,2024,7
Bryant,2025,5
Bucknell,2022,1
Bucknell,2023,1
Bucknell,2024,2
Bucknell,2025,4
Buffalo,2022,21
Buffalo,2023,10
Buffalo,2024,17
Buffalo,2025,8
Butler,2022,1
Butler,2024,2
Butler,2025,4
Butler C.C.,2024,2
Butler County (KS),2022,1
CSU-Pueblo,2024,1
CSU-Pueblo,2025,2
Cal Poly,2023,4
Cal Poly,2024,2
Cal Poly,2025,8
California,2022,6
California,2023,20
California,2024,23
California,2025,36
Campbell,2022,4
Campbell,2023,6
Campbell,2024,7
Campbell,2025,7
Carroll College,2024,1
Carson-Newman College,2024,1
Carson-Newman College,2025,1
Central Arkansas,2022,6
Central Arkansas,2023,1
Central Arkansas,2024,1
Central Arkansas,2025,10
Central Connecticut,2024,2
Central Connecticut,2025,2
Central Michigan,2022,2
Central Michigan,2023,2
Central Michigan,2024,6
Central Michigan,2025,10
Central Missouri,2024,1
Central Missouri,2025,2
Central Oklahoma,2022,1
Central Oklahoma,2023,1
Central Oklahoma,2024,2
Central Oklahoma,2025,3
Central Washington,2024,1
Central Washington,2025,2
Cerritos College,2023,1
Charleston Southern,2025,4
Charlotte,2022,3
Charlotte,2023,17
Charlotte,2024,28
Charlotte,2025,34
Chattanooga,2022,4
Chattanooga,2024,4
Chattanooga,2025,6
Cincinnati,2022,7
Cincinnati,2023,21
Cincinnati,2024,24
Cincinnati,2025,20
Cisco College,2022,1
Cisco College,2025,1
Clarion,2025,1
Clemson,2022,1
Clemson,2023,1
Clemson,2025,4
Coastal Carolina,2022,4
Coastal Carolina,2023,13
Coastal Carolina,2024,18
Coastal Carolina,2025,30
Coffeyville C.C.,2023,1
Coffeyville C.C.,2024,3
Coffeyville C.C.,2025,4
Colgate,2022,1
College of San Mateo,2025,3
College of the Canyons,2022,1
Colorado,2022,6
Colorado,2023,48
Colorado,2024,41
Colorado,2025,33
Colorado Mesa,2024,1
Colorado School Of Mines,2022,1
Colorado School Of Mines,2024,1
Colorado School Of Mines,2025,2
Colorado State,2022,11
Colorado State,2023,10
Colorado State,2024,11
Colorado State,2025,18
Columbia,2024,1
Concord University,2025,2
Concordia University,2022,1
Concordia University,2024,1
Copiah-Lincoln C.C.,2023,1
Copiah-Lincoln C.C.,2024,1
Davenport,2023,1
Davenport,2024,1
Davenport,2025,1
Dayton,2025,3
De Anza College,2023,1
Delaware,2024,7
Delaware,2025,8
Delaware State,2024,4
Delaware State,2025,8
Delta State,2022,1
Delta State,2024,1
Des Moines,2024,1
Drake,2022,1
Drake,2025,2
Duke,2022,8
Duke,2023,6
Duke,2024,18
Duke,2025,9
Duquesne,2022,1
Duquesne,2023,1
Duquesne,2024,3
Duquesne,2025,8
East Carolina,2022,14
East Carolina,2023,17
East Carolina,2024,17
East Carolina,2025,24
East Central (OK),2024,1
East Central C.C.,2025,2
East Mississippi C.C.,2023,1
East Mississippi C.C.,2024,3
East Mississippi C.C.,2025,1
East Tennessee State,2022,1
East Tennessee State,2023,2
East Tennessee State,2024,6
East Tennessee State,2025,27
East Texas A&M,2025,5
Eastern Illinois,2022,2
Eastern Illinois,2024,3
Eastern Illinois,2025,3
Eastern Kentucky,2022,4
Eastern Kentucky,2023,1
Eastern Kentucky,2024,3
Eastern Kentucky,2025,3
Eastern Michigan,2022,5
Eastern Michigan,2023,5
Eastern Michigan,2024,21
Eastern Michigan,2025,20
Eastern New Mexico,2022,1
Eastern New Mexico,2024,1
Eastern Washington,2023,3
Eastern Washington,2024,5
Eastern Washington,2025,5
Edinboro University,2024,1
Edward Waters,2024,1
Edward Waters,2025,1
El Camino College,2024,1
Elizabeth City State,2022,2
Elon,2022,4
Elon,2023,1
Elon,2024,3
Elon,2025,2
Emporia State University,2023,1
Emporia State University,2025,2
Fayetteville State,2023,1
Fayetteville State,2025,1
Ferris State,2024,1
Ferris State,2025,3
Findlay,2024,2
Florida,2022,9
Florida,2023,12
Florida,2024,15
Florida,2025,8
Florida A&M,2022,8
Florida A&M,2023,5
Florida A&M,2024,24
Florida A&M,2025,17
Florida Atlantic,2022,12
Florida Atlantic,2023,12
Florida Atlantic,2024,20
Florida Atlantic,2025,38
Florida International,2022,11
Florida International,2023,8
Florida International,2024,10
Florida International,2025,23
Florida Memorial University,2025,1
Florida State,2022,13
Florida State,2023,11
Florida State,2024,17
Florida State,2025,22
Fordham,2022,1
Fordham,2023,1
Fort Hays State,2022,1
Fort Hays State,2025,4
Fresno State,2022,12
Fresno State,2023,8
Fresno State,2024,7
Fresno State,2025,21
Furman,2024,2
Furman,2025,3
Garden City C.C. ,2024,6
Garden City C.C. ,2025,3
Gardner-Webb,2022,1
Gardner-Webb,2023,1
Gardner-Webb,2024,12
Gardner-Webb,2025,10
Georgetown,2024,1
Georgetown,2025,1
Georgia,2022,1
Georgia,2023,4
Georgia,2024,11
Georgia,2025,10
Georgia Military,2025,1
