Player,Position,Year,Origin,Destination,Prev_Pass_Yds,Prev_Rush_Rec_Yds,Prev_Pass_INTs,Prev_Def_INTs,Prev_Tackles,Prev_Sacks,Success_In_B1G
Kamo'i Latu,S,2022,Utah,Wisconsin,0.0,0.0,0.0,0.0,19.0,0.0,1
Jacobe Covington,CB,2022,Washington,USC,0.0,0.0,0.0,0.0,5.0,1.0,0
Marcus Washington,WR,2022,Texas,Nebraska,0.0,282.0,0.0,0.0,0.0,0.0,1
Jarek Broussard,RB,2022,Colorado,Michigan State,0.0,742.0,0.0,0.0,0.0,0.0,1
Gabriel Murphy,EDGE,2022,North Texas,UCLA,0.0,0.0,0.0,0.0,53.0,7.5,1
Sean Ryan,WR,2022,West Virginia,Rutgers,0.0,399.0,0.0,0.0,0.0,0.0,1
Devin Drew,DL,2022,Texas Tech,Nebraska,0.0,0.0,0.0,0.0,34.0,0.0,0
Jonah Morris,WR,2022,Northern Colorado,Illinois,0.0,7.0,0.0,0.0,0.0,0.0,0
Christian Gonzalez,S,2022,Colorado,Oregon,0.0,0.0,0.0,0.0,53.0,0.0,1
Azizi Hearn,CB,2022,Wyoming,UCLA,0.0,0.0,0.0,0.0,30.0,0.0,1
Jacob Copeland,WR,2022,Florida,Maryland,0.0,679.0,0.0,0.0,1.0,0.0,1
Kyler Baugh,DL,2022,Houston Christian,Minnesota,0.0,0.0,0.0,0.0,6.0,0.5,1
Chad Ryland,K,2022,Eastern Michigan,Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0
Brenden Rice,WR,2022,Colorado,USC,0.0,822.0,0.0,0.0,0.0,0.0,1
Charlie Jones,WR,2022,Iowa,Purdue,0.0,1251.0,0.0,0.0,1.0,0.0,1
Casey Rogers,DL,2022,Nebraska,Oregon,0.0,0.0,0.0,0.0,17.0,0.5,1
Mario Williams,WR,2022,Oklahoma,USC,0.0,510.0,0.0,0.0,1.0,0.0,1
Jordon Riley,DL,2022,Nebraska,Oregon,0.0,0.0,0.0,0.0,7.0,0.0,0
Daymon David,S,2022,Oregon,Oregon,0.0,0.0,0.0,0.0,3.0,0.0,0
Kody Case,WR,2022,South Dakota,Illinois,0.0,60.0,0.0,0.0,0.0,0.0,0
Jordan Addison,WR,2022,Pittsburgh,USC,0.0,1834.0,0.0,0.0,0.0,0.0,1
Cam Goode,DL,2022,UCF,Michigan,0.0,0.0,0.0,1.0,24.0,3.0,0
Quashon Fuller,EDGE,2022,Florida State,Maryland,0.0,0.0,0.0,0.0,8.0,1.0,0
Ryan Stapp,CB,2022,Abilene Christian,Minnesota,0.0,0.0,0.0,0.0,6.0,0.0,1
Luke Akers,P,2022,UCLA,Northwestern,0.0,0.0,0.0,0.0,0.0,0.0,1
Andrew Boyle,K,2022,Washington State,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0
Darnell Jefferies,DL,2022,Clemson,Minnesota,0.0,0.0,0.0,0.0,1.0,0.0,0
Ben VanSumeren,LB,2022,Michigan State,Michigan State,0.0,0.0,0.0,0.0,12.0,0.0,1
Ryan Johnson,DL,2022,Stanford,Northwestern,0.0,0.0,0.0,0.0,15.0,0.0,0
Henry Chibueze,DL,2022,Liberty,Maryland,0.0,0.0,0.0,0.0,18.0,2.0,0
Eric Gentry,LB,2022,Arizona State,USC,0.0,0.0,0.0,0.0,45.0,1.0,1
Josh Henderson,RB,2022,North Carolina,Indiana,0.0,21.0,0.0,0.0,0.0,0.0,1
Andison Coby,WR,2022,Tennessee,Indiana,0.0,5.0,0.0,0.0,0.0,0.0,0
Caleb Chapman,WR,2022,Texas A&M,Oregon,0.0,210.0,0.0,0.0,1.0,0.0,0
VanDarius Cowan,LB,2022,West Virginia,Maryland,0.0,0.0,0.0,0.0,15.0,0.0,0
Aaron Brule,LB,2022,Mississippi State,Michigan State,0.0,0.0,0.0,0.0,53.0,3.0,1
Latrell McCutchin,CB,2022,Oklahoma,USC,0.0,0.0,0.0,0.0,9.0,0.0,0
Bryson Shaw,S,2022,Ohio State,USC,0.0,0.0,0.0,1.0,59.0,0.0,1
Travis Dye,RB,2022,Oregon,USC,0.0,1673.0,0.0,0.0,0.0,0.0,1
Jay Shaw,CB,2022,UCLA,Wisconsin,0.0,0.0,0.0,3.0,27.0,0.0,1
Adam Barry,P,2022,Temple,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,1
Darius Muasau,LB,2022,Hawai'i,UCLA,0.0,0.0,0.0,1.0,108.0,7.0,1
Daniel Barker,TE,2022,Illinois,Michigan State,0.0,220.0,0.0,0.0,0.0,0.0,0
Tommy DeVito,QB,2022,Syracuse,Illinois,478.0,0.0,2.0,0.0,0.0,0.0,1
Austin Jones,RB,2022,Stanford,USC,0.0,645.0,0.0,0.0,0.0,0.0,1
Donny Navarro,WR,2022,Illinois,Northwestern,0.0,337.0,0.0,0.0,0.0,0.0,0
Caleb Williams,QB,2022,Oklahoma,USC,2354.0,0.0,4.0,0.0,0.0,0.0,1
Omar Brown,CB,2022,Northern Iowa,Nebraska,0.0,0.0,0.0,0.0,8.0,0.0,0
Wayne Taulapapa,RB,2022,Virginia,Washington,0.0,386.0,0.0,0.0,3.0,0.0,1
DeaMonte Trayanum,LB,2022,Arizona State,Ohio State,0.0,0.0,0.0,0.0,2.0,0.0,0
Jaylin Davies,CB,2022,Oregon,UCLA,0.0,0.0,0.0,0.0,3.0,0.0,1
Mekhi Blackmon,CB,2022,Colorado,USC,0.0,0.0,0.0,1.0,41.0,0.0,1
Solomon Byrd,DL,2022,Wyoming,USC,0.0,0.0,0.0,0.0,37.0,3.5,1
Justin Clark,CB,2022,Toledo,Wisconsin,0.0,0.0,0.0,1.0,27.0,1.0,0
Mitchell Tinsley,WR,2022,Western Kentucky,Penn State,0.0,1402.0,0.0,0.0,2.0,0.0,1
Michael Alaimo,QB,2022,Purdue,Purdue,-3.0,0.0,0.0,0.0,0.0,0.0,0
Shane Lee,LB,2022,Alabama,USC,0.0,0.0,0.0,0.0,6.0,0.5,1
Ameer Speed,CB,2022,Georgia,Michigan State,0.0,0.0,0.0,0.0,13.0,0.0,1
Terrell Bynum,WR,2022,Washington,USC,0.0,444.0,0.0,0.0,1.0,0.0,0
Bo Nix,QB,2022,Auburn,Oregon,2462.0,0.0,3.0,0.0,0.0,0.0,1
Jordan Perryman,CB,2022,UC Davis,Washington,0.0,0.0,0.0,0.0,5.0,0.0,1
Ochaun Mathis,EDGE,2022,TCU,Nebraska,0.0,0.0,0.0,0.0,45.0,4.0,1
Bradley Jennings Jr.,LB,2022,Miami,Indiana,0.0,0.0,0.0,0.0,14.0,0.0,1
Mar'Keise Irving,RB,2022,Minnesota,Oregon,0.0,966.0,0.0,0.0,1.0,0.0,1
Grayson Murphy,EDGE,2022,North Texas,UCLA,0.0,0.0,0.0,0.0,37.0,8.5,1
Chase Cota,WR,2022,UCLA,Oregon,0.0,286.0,0.0,0.0,0.0,0.0,1
Lorenza Surgers,DL,2022,Vanderbilt,Minnesota,0.0,0.0,0.0,0.0,17.0,1.0,0
Kevin Ryan,P,2022,Idaho State,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0
Jake Bobo,WR,2022,Duke,UCLA,0.0,794.0,0.0,0.0,2.0,0.0,1
Cam Bright,LB,2022,Pittsburgh,Washington,0.0,0.0,0.0,1.0,53.0,3.5,1
Trey Palmer,WR,2022,LSU,Nebraska,0.0,603.0,0.0,0.0,0.0,0.0,1
Michael Penix Jr.,QB,2022,Indiana,Washington,915.0,0.0,7.0,0.0,0.0,0.0,1
Tyrone Taleni,DL,2022,Kansas State,USC,0.0,0.0,0.0,0.0,4.0,1.0,1
Taishan Holmes,DL,2022,Massachusetts,Northwestern,0.0,0.0,0.0,0.0,12.0,0.0,0
Tanner McCalister,CB,2022,Oklahoma State,Ohio State,0.0,0.0,0.0,1.0,42.0,0.0,1
Titus Mokiao-Atimalala,WR,2022,UCF,UCLA,0.0,265.0,0.0,0.0,1.0,0.0,1
Brian Buschini,P,2022,Montana,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,1
Timmy Bleekrode,K,2022,Furman,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0
Jacoby Windmon,LB,2022,UNLV,Michigan State,0.0,0.0,0.0,0.0,118.0,6.5,1
Kristopher Moll,LB,2022,UAB,Washington,0.0,0.0,0.0,0.0,14.0,0.0,1
Connor Bazelak,QB,2022,Missouri,Indiana,2525.0,0.0,11.0,0.0,0.0,0.0,1
Reese Taylor,CB,2022,Indiana,Purdue,0.0,0.0,0.0,0.0,25.0,1.0,1
Jared Casey,LB,2022,Kentucky,Indiana,0.0,0.0,0.0,0.0,9.0,0.0,0
Taj Harris,WR,2022,Syracuse,Rutgers,0.0,171.0,0.0,0.0,0.0,0.0,0
Jalen Berger,RB,2022,Wisconsin,Michigan State,0.0,105.0,0.0,0.0,0.0,0.0,1
Sam Taimani,DL,2022,Washington,Oregon,0.0,0.0,0.0,0.0,43.0,0.0,0
Tommi Hill,CB,2022,Arizona State,Nebraska,0.0,0.0,0.0,0.0,9.0,0.0,0
JH Tevis,EDGE,2022,California,Indiana,0.0,0.0,0.0,0.0,36.0,1.0,0
Isaiah Garcia-Castaneda,WR,2022,New Mexico State,Nebraska,0.0,637.0,0.0,0.0,1.0,0.0,0
Khris Bogle,EDGE,2022,Florida,Michigan State,0.0,0.0,0.0,0.0,22.0,1.5,0
Shaun Shivers,ATH,2022,Auburn,Indiana,0.0,0.0,0.0,0.0,0.0,0.0,1
Will Nixon,WR,2022,Nebraska,Washington,0.0,5.0,0.0,0.0,0.0,0.0,0
Chubba Purdy,QB,2022,Florida State,Nebraska,103.0,0.0,0.0,0.0,0.0,0.0,0
