School,Conference,Year,Team_Record,Conference_Champ,End_of_Year_AP_Rank,Total_Players,Underclassmen,Upperclassmen,Pct_Non_Transfers,Total_Transfers_Incoming,Pct_Transfers
Abilene Christian,Western Athletic,2022,7-4,TBD,N/A,104,51,52,91.34615384615384,9.0,8.653846153846153
Abilene Christian,UAC,2023,5-6,TBD,N/A,51,16,33,92.15686274509804,4.0,7.84313725490196
Abilene Christian,UAC,2024,9-5,TBD,N/A,43,14,26,69.76744186046511,13.0,30.23255813953488
Abilene Christian,UAC,2025,9-5,TBD,N/A,106,39,55,83.9622641509434,17.0,16.037735849056602
Adrian,Michigan,2025,8-2,TBD,N/A,15,0,0,100.0,0.0,0.0
Air Force,Mountain West,2022,10-3,TBD,N/A,115,9,106,100.0,0.0,0.0
Air Force,Mountain West,2023,9-4,TBD,N/A,126,7,118,100.0,0.0,0.0
Air Force,Mountain West,2024,5-7,TBD,N/A,130,16,113,100.0,0.0,0.0
Air Force,Mountain West,2025,4-8,TBD,N/A,141,60,78,100.0,0.0,0.0
Akron,Mid-American,2022,2-10,TBD,N/A,111,27,84,86.48648648648648,15.0,13.513513513513514
Akron,Mid-American,2023,2-10,TBD,N/A,106,34,72,96.22641509433964,4.0,3.7735849056603774
Akron,Mid-American,2024,4-8,TBD,N/A,108,45,63,86.11111111111111,15.0,13.88888888888889
Akron,Mid-American,2025,5-7,TBD,N/A,104,55,49,83.65384615384616,17.0,16.346153846153847
Alabama,SEC,2022,11-2,TBD,1,136,16,120,96.32352941176472,5.0,3.6764705882352944
Alabama,SEC,2023,12-2,TBD,8,138,32,106,96.3768115942029,5.0,3.6231884057971016
Alabama,SEC,2024,9-4,TBD,11,133,61,72,89.47368421052632,14.0,10.526315789473683
Alabama,SEC,2025,11-4,TBD,9,127,74,52,91.33858267716536,11.0,8.661417322834646
Alabama A&M,SWAC,2022,4-7,TBD,N/A,105,36,68,89.52380952380952,11.0,10.476190476190476
Alabama A&M,SWAC,2023,5-6,TBD,N/A,57,15,28,96.49122807017544,2.0,3.508771929824561
Alabama A&M,SWAC,2024,6-6,TBD,N/A,56,23,20,83.92857142857143,9.0,16.071428571428573
Alabama A&M,SWAC,2025,4-8,TBD,N/A,128,71,52,98.4375,2.0,1.5625
Alabama State,SWAC,2022,6-5,TBD,N/A,121,70,51,94.21487603305783,7.0,5.785123966942149
Alabama State,SWAC,2023,7-4,TBD,N/A,46,23,14,97.82608695652172,1.0,2.1739130434782608
Alabama State,SWAC,2024,7-5,TBD,N/A,48,21,20,93.75,3.0,6.25
Alabama State,SWAC,2025,10-2,TBD,N/A,121,81,39,95.04132231404958,6.0,4.958677685950414
Albany State GA,SIAC,2022,7-3,TBD,N/A,11,0,1,100.0,0.0,0.0
Albany State GA,SIAC,2025,12-2,TBD,N/A,14,1,0,100.0,0.0,0.0
Alcorn State,SWAC,2022,5-6,TBD,N/A,106,35,71,96.22641509433964,4.0,3.7735849056603774
Alcorn State,SWAC,2023,7-4,TBD,N/A,55,14,32,98.1818181818182,1.0,1.818181818181818
Alcorn State,SWAC,2024,6-6,TBD,N/A,58,10,37,98.27586206896552,1.0,1.7241379310344829
Alcorn State,SWAC,2025,5-7,TBD,N/A,117,37,76,96.58119658119658,4.0,3.418803418803419
Allen,SIAC,2025,6-5,TBD,N/A,10,2,0,100.0,0.0,0.0
American International,Northeast 10,2023,3-8,TBD,N/A,8,0,0,100.0,0.0,0.0
American International,Northeast 10,2025,2-8,TBD,N/A,17,0,0,100.0,0.0,0.0
App State,Sun Belt,2022,6-6,TBD,N/A,116,28,88,92.24137931034484,9.0,7.758620689655173
App State,Sun Belt,2023,9-5,TBD,N/A,115,40,75,88.69565217391305,13.0,11.304347826086955
App State,Sun Belt,2024,5-6,TBD,N/A,120,55,65,87.5,15.0,12.5
App State,Sun Belt,2025,5-8,TBD,N/A,113,63,45,71.68141592920354,32.0,28.31858407079646
Arizona,Pac-12,2022,5-7,TBD,N/A,110,21,89,92.72727272727272,8.0,7.272727272727272
Arizona,Pac-12,2023,10-3,TBD,14,110,33,77,92.72727272727272,8.0,7.272727272727272
Arizona,Big 12,2024,4-8,TBD,N/A,109,48,61,77.98165137614679,24.0,22.01834862385321
Arizona,Big 12,2025,9-4,TBD,N/A,111,55,56,72.97297297297297,30.0,27.027027027027028
Arizona State,Pac-12,2022,3-9,TBD,N/A,112,25,87,88.39285714285714,13.0,11.607142857142858
Arizona State,Pac-12,2023,3-9,TBD,N/A,118,38,80,74.57627118644068,30.0,25.42372881355932
Arizona State,Big 12,2024,11-3,TBD,10,120,53,67,76.66666666666667,28.0,23.33333333333333
Arizona State,Big 12,2025,8-5,TBD,N/A,108,60,48,84.25925925925927,17.0,15.74074074074074
Arkansas,SEC,2022,7-6,TBD,N/A,118,27,91,92.3728813559322,9.0,7.627118644067797
Arkansas,SEC,2023,4-8,TBD,N/A,121,38,83,85.9504132231405,17.0,14.049586776859504
Arkansas,SEC,2024,7-6,TBD,N/A,124,56,68,82.25806451612902,22.0,17.741935483870968
Arkansas,SEC,2025,2-10,TBD,N/A,115,63,52,73.04347826086956,31.0,26.956521739130437
Arkansas State,Sun Belt,2022,3-9,TBD,N/A,126,49,77,91.26984126984128,11.0,8.73015873015873
Arkansas State,Sun Belt,2023,6-7,TBD,N/A,121,47,73,93.38842975206612,8.0,6.6115702479338845
Arkansas State,Sun Belt,2024,8-5,TBD,N/A,123,60,63,86.17886178861788,17.0,13.821138211382117
Arkansas State,Sun Belt,2025,7-6,TBD,N/A,123,77,46,73.98373983739837,32.0,26.01626016260163
Arkansas-Pine Bluff,SWAC,2022,3-8,TBD,N/A,99,54,45,100.0,0.0,0.0
Arkansas-Pine Bluff,SWAC,2023,2-9,TBD,N/A,48,25,19,100.0,0.0,0.0
Arkansas-Pine Bluff,SWAC,2024,3-9,TBD,N/A,55,18,25,94.54545454545456,3.0,5.454545454545454
Arkansas-Pine Bluff,SWAC,2025,3-8,TBD,N/A,95,44,51,98.94736842105264,1.0,1.0526315789473684
Army,FBS Independents,2022,6-6,TBD,N/A,164,42,122,100.0,0.0,0.0
Army,FBS Independents,2023,6-6,TBD,N/A,180,43,137,100.0,0.0,0.0
Army,American Athletic,2024,12-2,TBD,19,182,85,97,100.0,0.0,0.0
Army,American Athletic,2025,7-6,TBD,N/A,180,114,63,100.0,0.0,0.0
Assumption,Northeast 10,2022,7-3,TBD,N/A,18,1,0,100.0,0.0,0.0
Auburn,SEC,2022,5-7,TBD,N/A,115,27,88,90.43478260869566,11.0,9.565217391304348
Auburn,SEC,2023,6-7,TBD,N/A,119,36,83,82.35294117647058,21.0,17.647058823529413
Auburn,SEC,2024,5-7,TBD,N/A,121,54,67,87.60330578512396,15.0,12.396694214876034
Auburn,SEC,2025,5-7,TBD,N/A,116,68,44,81.89655172413794,21.0,18.103448275862068
Augustana University (SD),Northern Sun,2024,8-4,TBD,N/A,16,2,1,100.0,0.0,0.0
Austin Peay,Atlantic Sun,2022,7-4,TBD,N/A,110,41,68,99.0909090909091,1.0,0.9090909090909092
Austin Peay,UAC,2023,9-3,TBD,N/A,43,8,32,93.02325581395348,3.0,6.976744186046512
Austin Peay,UAC,2024,4-8,TBD,N/A,39,12,24,56.41025641025641,17.0,43.58974358974359
Austin Peay,UAC,2025,7-5,TBD,N/A,110,61,49,79.0909090909091,23.0,20.909090909090907
Ave Maria University,,2024,,,,21,0,0,100.0,0.0,0.0
BLUEFIELD,,2025,,,,14,0,0,100.0,0.0,0.0
BYU,FBS Independents,2022,8-5,TBD,16,125,24,101,96.8,4.0,3.2
BYU,Big 12,2023,5-7,TBD,N/A,121,32,89,83.47107438016529,20.0,16.528925619834713
BYU,Big 12,2024,11-2,TBD,17,125,56,67,92.8,9.0,7.199999999999999
BYU,Big 12,2025,12-2,TBD,11,115,73,42,88.69565217391305,13.0,11.304347826086955
Ball State,Mid-American,2022,5-7,TBD,N/A,112,35,77,95.53571428571428,5.0,4.464285714285714
Ball State,Mid-American,2023,4-8,TBD,N/A,118,48,69,91.52542372881356,10.0,8.47457627118644
Ball State,Mid-American,2024,3-9,TBD,N/A,120,63,55,90.83333333333331,11.0,9.166666666666666
Ball State,Mid-American,2025,4-8,TBD,N/A,109,66,43,77.98165137614679,24.0,22.01834862385321
Baylor,Big 12,2022,6-7,TBD,N/A,112,12,100,97.32142857142856,3.0,2.6785714285714284
Baylor,Big 12,2023,3-9,TBD,N/A,109,28,81,88.07339449541284,13.0,11.926605504587156
Baylor,Big 12,2024,8-5,TBD,N/A,110,38,72,85.45454545454545,16.0,14.545454545454543
Baylor,Big 12,2025,5-7,TBD,N/A,117,66,49,80.34188034188034,23.0,19.65811965811966
Bentley,Northeast 10,2025,7-4,TBD,N/A,18,0,0,100.0,0.0,0.0
Bethune-Cookman,SWAC,2022,2-9,TBD,N/A,108,38,68,99.07407407407408,1.0,0.9259259259259258
Bethune-Cookman,SWAC,2023,3-8,TBD,N/A,58,12,27,94.82758620689656,3.0,5.172413793103448
Bethune-Cookman,SWAC,2024,2-10,TBD,N/A,59,18,32,84.7457627118644,9.0,15.254237288135592
Bethune-Cookman,SWAC,2025,6-6,TBD,N/A,92,58,34,94.56521739130434,5.0,5.434782608695652
Black Hills State,Rocky Mountain,2023,6-5,TBD,N/A,12,0,0,100.0,0.0,0.0
Black Hills State,Rocky Mountain,2024,6-5,TBD,N/A,14,0,2,100.0,0.0,0.0
Bloomsburg,Pennsylvania State Athletic,2022,3-8,TBD,N/A,13,0,1,100.0,0.0,0.0
Boise State,Mountain West,2022,10-4,TBD,N/A,106,19,87,97.16981132075472,3.0,2.8301886792452837
Boise State,Mountain West,2023,8-6,TBD,N/A,110,36,74,91.8181818181818,9.0,8.181818181818182
Boise State,Mountain West,2024,12-2,TBD,8,115,48,67,93.04347826086956,8.0,6.956521739130435
Boise State,Mountain West,2025,9-5,TBD,N/A,109,59,50,88.99082568807339,12.0,11.009174311926609
Boston College,ACC,2022,3-9,TBD,N/A,108,11,97,96.29629629629628,4.0,3.7037037037037033
Boston College,ACC,2023,7-6,TBD,N/A,118,24,93,92.3728813559322,9.0,7.627118644067797
Boston College,ACC,2024,7-6,TBD,N/A,118,44,73,91.52542372881356,10.0,8.47457627118644
Boston College,ACC,2025,2-10,TBD,N/A,124,77,47,87.90322580645162,15.0,12.096774193548388
Bowie State,CIAA,2023,6-4,TBD,N/A,12,2,0,100.0,0.0,0.0
Bowie State,CIAA,2025,3-7,TBD,N/A,16,2,0,100.0,0.0,0.0
Bowling Green,Mid-American,2022,6-7,TBD,N/A,108,14,94,94.44444444444444,6.0,5.555555555555555
Bowling Green,Mid-American,2023,7-6,TBD,N/A,108,25,83,97.22222222222224,3.0,2.7777777777777777
Bowling Green,Mid-American,2024,7-6,TBD,N/A,109,44,65,88.07339449541284,13.0,11.926605504587156
Bowling Green,Mid-American,2025,4-8,TBD,N/A,108,67,41,80.55555555555556,21.0,19.444444444444446
Brown,Ivy,2022,3-7,TBD,N/A,114,26,88,100.0,0.0,0.0
Brown,Ivy,2023,5-5,TBD,N/A,34,5,27,100.0,0.0,0.0
Brown,Ivy,2024,3-7,TBD,N/A,33,10,23,100.0,0.0,0.0
Brown,Ivy,2025,5-5,TBD,N/A,107,53,54,100.0,0.0,0.0
Bryant,Big South,2022,4-7,TBD,N/A,128,42,86,100.0,0.0,0.0
Bryant,Big South-OVC,2023,6-5,TBD,N/A,48,8,37,100.0,0.0,0.0
Bryant,CAA,2024,2-10,TBD,N/A,37,8,23,81.08108108108108,7.0,18.91891891891892
Bryant,CAA,2025,3-9,TBD,N/A,133,72,61,96.2406015037594,5.0,3.7593984962406015
Bucknell,Patriot,2022,3-8,TBD,N/A,94,36,58,98.93617021276596,1.0,1.0638297872340423
Bucknell,Patriot,2023,4-7,TBD,N/A,45,15,30,97.77777777777776,1.0,2.2222222222222223
Bucknell,Patriot,2024,6-6,TBD,N/A,43,20,22,95.34883720930232,2.0,4.651162790697675
Bucknell,Patriot,2025,5-7,TBD,N/A,103,60,43,96.11650485436893,4.0,3.883495145631068
Buffalo,Mid-American,2022,7-6,TBD,N/A,113,25,88,81.41592920353982,21.0,18.58407079646018
Buffalo,Mid-American,2023,3-9,TBD,N/A,108,25,83,90.74074074074072,10.0,9.25925925925926
Buffalo,Mid-American,2024,9-4,TBD,N/A,119,56,63,85.71428571428572,17.0,14.285714285714285
Buffalo,Mid-American,2025,5-7,TBD,N/A,114,66,48,92.98245614035088,8.0,7.017543859649122
Buffalo State,Liberty League,2024,3-7,TBD,N/A,12,0,0,100.0,0.0,0.0
Butler,Pioneer,2022,7-4,TBD,N/A,109,53,56,99.08256880733946,1.0,0.9174311926605504
Butler,Pioneer,2023,7-4,TBD,N/A,28,10,18,100.0,0.0,0.0
Butler,Pioneer,2024,9-3,TBD,N/A,42,15,22,95.23809523809524,2.0,4.761904761904762
Butler,Pioneer,2025,6-6,TBD,N/A,108,68,40,96.29629629629628,4.0,3.7037037037037033
Cal Poly,Big Sky,2022,2-9,TBD,N/A,107,51,56,100.0,0.0,0.0
Cal Poly,Big Sky,2023,3-8,TBD,N/A,47,18,26,91.48936170212768,4.0,8.51063829787234
Cal Poly,Big Sky,2024,3-8,TBD,N/A,56,24,28,96.42857142857144,2.0,3.571428571428571
Cal Poly,Big Sky,2025,4-8,TBD,N/A,121,75,45,93.38842975206612,8.0,6.6115702479338845
California,Pac-12,2022,4-8,TBD,N/A,115,28,86,94.78260869565216,6.0,5.217391304347826
California,Pac-12,2023,6-7,TBD,N/A,118,34,83,83.05084745762713,20.0,16.94915254237288
California,ACC,2024,6-7,TBD,N/A,116,50,66,80.17241379310344,23.0,19.82758620689655
California,ACC,2025,7-6,TBD,N/A,114,68,46,68.42105263157895,36.0,31.57894736842105
Campbell,Big South,2022,5-6,TBD,N/A,127,53,74,96.8503937007874,4.0,3.149606299212598
Campbell,CAA,2023,5-6,TBD,N/A,47,17,26,87.23404255319149,6.0,12.76595744680851
Campbell,CAA,2024,3-9,TBD,N/A,47,19,25,85.1063829787234,7.0,14.893617021276595
Campbell,CAA,2025,2-10,TBD,N/A,103,63,39,93.20388349514565,7.0,6.796116504854369
Catawba,South Atlantic,2024,3-8,TBD,N/A,14,1,0,100.0,0.0,0.0
Central Arkansas,Atlantic Sun,2022,5-6,TBD,N/A,106,54,52,94.33962264150944,6.0,5.660377358490567
Central Arkansas,UAC,2023,7-4,TBD,N/A,52,17,27,98.07692307692308,1.0,1.9230769230769231
Central Arkansas,UAC,2024,6-6,TBD,N/A,49,20,25,97.95918367346938,1.0,2.0408163265306123
Central Arkansas,UAC,2025,3-9,TBD,N/A,116,65,50,91.3793103448276,10.0,8.620689655172415
Central Connecticut,NEC,2022,2-9,TBD,N/A,95,43,52,100.0,0.0,0.0
Central Connecticut,NEC,2023,3-8,TBD,N/A,54,14,27,100.0,0.0,0.0
Central Connecticut,NEC,2024,7-6,TBD,N/A,53,18,30,96.22641509433964,2.0,3.7735849056603774
Central Connecticut,NEC,2025,8-5,TBD,N/A,102,60,42,98.03921568627452,2.0,1.96078431372549
Central Michigan,Mid-American,2022,4-8,TBD,N/A,120,32,88,98.33333333333331,2.0,1.6666666666666667
Central Michigan,Mid-American,2023,5-7,TBD,N/A,118,46,70,98.30508474576273,2.0,1.694915254237288
Central Michigan,Mid-American,2024,4-8,TBD,N/A,118,55,63,94.91525423728814,6.0,5.084745762711865
