School,Year,Total_Players,Underclassmen,Upperclassmen,Total_Transfers_Incoming,Pct_Transfers,Pct_Non_Transfers
Abilene Christian,2022,104,51,52,9.0,8.653846153846153,91.34615384615384
Abilene Christian,2023,51,16,33,4.0,7.8431372549019605,92.15686274509804
Abilene Christian,2024,43,14,26,13.0,30.23255813953488,69.76744186046511
Abilene Christian,2025,106,39,55,17.0,16.037735849056602,83.9622641509434
Adrian,2025,15,0,0,0.0,0.0,100.0
Air Force,2022,115,9,106,0.0,0.0,100.0
Air Force,2023,126,7,118,0.0,0.0,100.0
Air Force,2024,130,16,113,0.0,0.0,100.0
Air Force,2025,141,60,78,0.0,0.0,100.0
Akron,2022,111,27,84,15.0,13.513513513513514,86.48648648648648
Akron,2023,106,34,72,4.0,3.7735849056603774,96.22641509433963
Akron,2024,108,45,63,15.0,13.88888888888889,86.11111111111111
Akron,2025,104,55,49,17.0,16.346153846153847,83.65384615384616
Alabama,2022,136,16,120,5.0,3.6764705882352944,96.32352941176471
Alabama,2023,138,32,106,5.0,3.6231884057971016,96.3768115942029
Alabama,2024,133,61,72,14.0,10.526315789473683,89.47368421052632
Alabama,2025,127,74,52,11.0,8.661417322834646,91.33858267716535
Alabama A&M,2022,105,36,68,11.0,10.476190476190476,89.52380952380952
Alabama A&M,2023,57,15,28,2.0,3.508771929824561,96.49122807017544
Alabama A&M,2024,56,23,20,9.0,16.071428571428573,83.92857142857143
Alabama A&M,2025,128,71,52,2.0,1.5625,98.4375
Alabama State,2022,121,70,51,7.0,5.785123966942149,94.21487603305785
Alabama State,2023,46,23,14,1.0,2.1739130434782608,97.82608695652173
Alabama State,2024,48,21,20,3.0,6.25,93.75
Alabama State,2025,121,81,39,6.0,4.958677685950414,95.04132231404958
Albany State GA,2022,11,0,1,0.0,0.0,100.0
Albany State GA,2025,14,1,0,0.0,0.0,100.0
Alcorn State,2022,106,35,71,4.0,3.7735849056603774,96.22641509433963
Alcorn State,2023,55,14,32,1.0,1.8181818181818181,98.18181818181819
Alcorn State,2024,58,10,37,1.0,1.7241379310344827,98.27586206896552
Alcorn State,2025,117,37,76,4.0,3.418803418803419,96.58119658119658
Allen,2025,10,2,0,0.0,0.0,100.0
American International,2023,8,0,0,0.0,0.0,100.0
American International,2025,17,0,0,0.0,0.0,100.0
App State,2022,116,28,88,9.0,7.758620689655173,92.24137931034483
App State,2023,115,40,75,13.0,11.304347826086957,88.69565217391305
App State,2024,120,55,65,15.0,12.5,87.5
App State,2025,113,63,45,32.0,28.31858407079646,71.68141592920354
Arizona,2022,110,21,89,8.0,7.2727272727272725,92.72727272727273
Arizona,2023,110,33,77,8.0,7.2727272727272725,92.72727272727273
Arizona,2024,109,48,61,24.0,22.018348623853214,77.98165137614679
Arizona,2025,111,55,56,30.0,27.027027027027028,72.97297297297297
Arizona State,2022,112,25,87,13.0,11.607142857142858,88.39285714285714
Arizona State,2023,118,38,80,30.0,25.423728813559322,74.57627118644068
Arizona State,2024,120,53,67,28.0,23.333333333333332,76.66666666666667
Arizona State,2025,108,60,48,17.0,15.74074074074074,84.25925925925927
Arkansas,2022,118,27,91,9.0,7.627118644067797,92.37288135593221
Arkansas,2023,121,38,83,17.0,14.049586776859504,85.9504132231405
Arkansas,2024,124,56,68,22.0,17.741935483870968,82.25806451612902
Arkansas,2025,115,63,52,31.0,26.956521739130434,73.04347826086956
Arkansas State,2022,126,49,77,11.0,8.73015873015873,91.26984126984127
Arkansas State,2023,121,47,73,8.0,6.6115702479338845,93.38842975206612
Arkansas State,2024,123,60,63,17.0,13.821138211382115,86.17886178861788
Arkansas State,2025,123,77,46,32.0,26.01626016260163,73.98373983739837
Arkansas-Pine Bluff,2022,99,54,45,0.0,0.0,100.0
Arkansas-Pine Bluff,2023,48,25,19,0.0,0.0,100.0
